inv_date,invoice_number,account,part_number,qty,sell_price,total_sale_value,disc,cost_price,total_cost_value,profit
3/25/2015,INV7799609,ELEMERA,P914835,1,89.3646,89.3646,36,76.853556,76.853556,12.511044
3/25/2015,INV7799609,ELEMERA,P917252,1,680.2209,680.2209,36,584.989974,584.989974,95.230926
3/25/2015,INV7799609,ELEMERA,P663489,3,1.9494,5.8482,36,1.676484,5.029452,0.818748
3/25/2015,INV7799609,ELEMERA,P581775,1,8.037,8.037,36,6.91182,6.91182,1.12518
3/26/2015,INV7799596,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
3/26/2015,INV7799596,ELEMERA,P934398,2,10.2087,20.4174,36,8.779482,17.558964,2.858436
3/26/2015,INV7799596,ELEMERA,P907453,1,28.6938,28.6938,36,24.676668,24.676668,4.017132
3/26/2015,INV7799596,ELEMERA,P915648,1,93.6225,93.6225,36,80.51535,80.51535,13.10715
7/4/2015,INV7799534,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
4/23/2015,INV7799408,ELEMERA,P405890,2,89.433,178.866,36,76.91238,153.82476,25.04124
4/23/2015,INV7799408,ELEMERA,P687247,1,485.5716,485.5716,36,417.591576,417.591576,67.980024
4/23/2015,INV7799408,ELEMERA,P907453,1,28.6938,28.6938,36,24.676668,24.676668,4.017132
4/30/2015,INV7799343,ELEMERA,P405890,2,89.433,178.866,36,76.91238,153.82476,25.04124
4/30/2015,INV7799343,ELEMERA,P253339,2,247.95,495.9,36,213.237,426.474,69.426
4/30/2015,INV7799343,ELEMERA,P991597,2,17.4078,34.8156,36,14.970708,29.941416,4.874184
4/30/2015,INV7799343,ELEMERA,P529450,1,1093.7331,1093.7331,36,940.610466,940.610466,153.122634
5/19/2015,INV7799167,ELEMERA,P405890,2,89.433,178.866,36,76.91238,153.82476,25.04124
5/19/2015,INV7799167,ELEMERA,P994166,2,20.8107,41.6214,36,17.897202,35.794404,5.826996
5/19/2015,INV7799167,ELEMERA,P991597,1,17.4078,17.4078,36,14.970708,14.970708,2.437092
5/19/2015,INV7799167,ELEMERA,P529450,1,1093.7331,1093.7331,36,940.610466,940.610466,153.122634
5/19/2015,INV7799167,ELEMERA,P125459,2,268.1964,536.3928,36,230.648904,461.297808,75.094992
1/7/2015,INV7798855,ELEMERA,P405890,2,89.433,178.866,36,76.91238,153.82476,25.04124
1/7/2015,INV7798855,ELEMERA,P109015,6,14.706,88.236,36,12.64716,75.88296,12.35304
1/7/2015,INV7798855,ELEMERA,P728031,1,255.0465,255.0465,36,219.33999,219.33999,35.70651
1/7/2015,INV7798855,ELEMERA,P838929,6,12.5685,75.411,36,10.80891,64.85346,10.55754
9/15/2015,INV7797975,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
9/15/2015,INV7797975,ELEMERA,P934398,3,10.2087,30.6261,36,8.779482,26.338446,4.287654
9/23/2015,INV7797870,ELEMERA,P405890,2,89.433,178.866,36,76.91238,153.82476,25.04124
9/23/2015,INV7797870,ELEMERA,P753309,1,17.8011,17.8011,36,15.308946,15.308946,2.492154
9/23/2015,INV7797870,ELEMERA,P383812,2,3.3858,6.7716,36,2.911788,5.823576,0.948024
9/23/2015,INV7797870,ELEMERA,P847740,2,35.2602,70.5204,36,30.323772,60.647544,9.872856
9/23/2015,INV7797870,ELEMERA,P956668,6,5.5575,33.345,36,4.77945,28.6767,4.6683
9/23/2015,INV7797870,ELEMERA,P934398,2,10.2087,20.4174,36,8.779482,17.558964,2.858436
9/23/2015,INV7797870,ELEMERA,P321238,4,6.2073,24.8292,36,5.338278,21.353112,3.476088
9/23/2015,INV7797870,ELEMERA,P825805,2,2.5137,5.0274,36,2.161782,4.323564,0.703836
9/23/2015,INV7797870,ELEMERA,P326712,3,3.762,11.286,36,3.23532,9.70596,1.58004
9/23/2015,INV7797870,ELEMERA,P896509,2,11.6793,23.3586,36,10.044198,20.088396,3.270204
9/23/2015,INV7797870,ELEMERA,P994554,1,9.0117,9.0117,36,7.750062,7.750062,1.261638
9/23/2015,INV7797870,ELEMERA,P836629,4,29.8224,119.2896,36,25.647264,102.589056,16.700544
9/23/2015,INV7797870,ELEMERA,P715622,4,3.9501,15.8004,36,3.397086,13.588344,2.212056
9/23/2015,INV7797870,ELEMERA,P281184,2,31.2588,62.5176,36,26.882568,53.765136,8.752464
9/23/2015,INV7797870,ELEMERA,P134927,2,3.2319,6.4638,36,2.779434,5.558868,0.904932
